Mortgage Type,<= 2.5 ,3,3.5,4,4.5,5,> 5.0,Measure,Agency,Date
SINGLE FAMILY 30Y,0,98.6,101,103.1,105.1,106.4,108.4,AVG. PRICE TOP 5 TRADES,FHLMC,01/04/2019
SINGLE FAMILY 30Y,0,0.5,0.7,0.7,0.6,0.9,4,STANDARD DEVIATION,FHLMC,01/04/2019
SINGLE FAMILY 30Y,0,73414.1,211681.2,522741.6,714465.6,64496.4,32922,VOLUME OF TRADES (000'S),FHLMC,01/04/2019
SINGLE FAMILY 30Y,0,60,80,116,75,21,20,NUMBER OF TRADES,FHLMC,01/04/2019
SINGLE FAMILY 30Y,*,98.7,100.9,102.5,103.7,104.2,103.5,AVERAGE PRICE,GNMA,01/04/2019
SINGLE FAMILY 30Y,*,99.1,101,102.6,103.6,104.4,106.3,WEIGHTED AVG. PRICE,GNMA,01/04/2019
SINGLE FAMILY 30Y,*,98.1,100.2,101.2,101.6,100.4,76.2,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/04/2019
SINGLE FAMILY 30Y,*,98.8,100.9,102.5,103.6,103.7,102.3,2ND QUARTILE PRICE,GNMA,01/04/2019
SINGLE FAMILY 30Y,*,98.9,101,102.6,103.7,104.5,106.3,3RD QUARTILE PRICE,GNMA,01/04/2019
SINGLE FAMILY 30Y,*,99,101.1,102.8,104.2,105.3,109.2,4TH QUARTILE PRICE,GNMA,01/04/2019
SINGLE FAMILY 30Y,*,99.2,101.4,103.3,105.3,107.2,111.7,AVG. PRICE TOP 5 TRADES,GNMA,01/04/2019
SINGLE FAMILY 30Y,*,0.7,0.4,0.6,0.8,1.6,9.2,STANDARD DEVIATION,GNMA,01/04/2019
SINGLE FAMILY 30Y,*,448480.6,389143.2,716987.7,1377911.9,1136213.2,61457.1,VOLUME OF TRADES (000'S),GNMA,01/04/2019
SINGLE FAMILY 30Y,*,23,46,59,78,81,200,NUMBER OF TRADES,GNMA,01/04/2019
SINGLE FAMILY 15Y,98.1,99.9,100.4,102.1,101.5,*,99.9,AVERAGE PRICE,FNMA,01/07/2019
SINGLE FAMILY 15Y,97,100,100.2,103.7,103,*,102.1,WEIGHTED AVG. PRICE,FNMA,01/07/2019
SINGLE FAMILY 15Y,96.2,98.6,97.7,99.6,100.2,*,99.5,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/07/2019
SINGLE FAMILY 15Y,97.7,100,100.2,101.3,100.5,*,101.6,2ND QUARTILE PRICE,FNMA,01/07/2019
SINGLE FAMILY 15Y,98.2,100,100.2,102.2,102.2,*,102,3RD QUARTILE PRICE,FNMA,01/07/2019
SINGLE FAMILY 15Y,99,100,101.3,103.6,102.7,*,102.5,4TH QUARTILE PRICE,FNMA,01/07/2019
SINGLE FAMILY 15Y,99.4,100.1,101.7,104.6,103.2,*,102.2,AVG. PRICE TOP 5 TRADES,FNMA,01/07/2019
SINGLE FAMILY 15Y,0.9,0.3,1.2,1.6,1.9,*,4.2,STANDARD DEVIATION,FNMA,01/07/2019
SINGLE FAMILY 15Y,59259.7,1721444.5,64801.8,354416.1,18940.5,*,72.3,VOLUME OF TRADES (000'S),FNMA,01/07/2019
SINGLE FAMILY 15Y,51,140,72,51,13,*,8,NUMBER OF TRADES,FNMA,01/07/2019
SINGLE FAMILY 15Y,97.6,99.1,100.3,102.5,101.9,*,96.3,AVERAGE PRICE,FHLMC,01/07/2019
SINGLE FAMILY 15Y,97.8,100.1,101.5,102.9,103.1,*,101.7,WEIGHTED AVG. PRICE,FHLMC,01/07/2019
SINGLE FAMILY 15Y,96.4,97.9,100,100.9,101.9,*,96.3,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/07/2019
SINGLE FAMILY 15Y,96.8,98.7,100.1,102.6,*,*,*,2ND QUARTILE PRICE,FHLMC,01/07/2019
