Mortgage Type,ARM / Seasoned,3/1,5/1,7/1,10/1,Measure,Agency,Date
ARMS/HYBRIDS,3581.6,0,*,7802.9,71757,VOLUME OF TRADES (000'S),FNMA,01/14/2019
ARMS/HYBRIDS,11,0,*,5,6,NUMBER OF TRADES,FNMA,01/14/2019
ARMS/HYBRIDS,*,0,*,*,0,AVERAGE PRICE,FHLMC,01/14/2019
ARMS/HYBRIDS,*,0,*,*,0,WEIGHTED AVG. PRICE,FHLMC,01/14/2019
ARMS/HYBRIDS,*,0,*,*,0,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/14/2019
ARMS/HYBRIDS,*,0,*,*,0,2ND QUARTILE PRICE,FHLMC,01/14/2019
ARMS/HYBRIDS,*,0,*,*,0,3RD QUARTILE PRICE,FHLMC,01/14/2019
ARMS/HYBRIDS,*,0,*,*,0,4TH QUARTILE PRICE,FHLMC,01/14/2019
ARMS/HYBRIDS,*,0,*,*,0,AVG. PRICE TOP 5 TRADES,FHLMC,01/14/2019
ARMS/HYBRIDS,*,0,*,*,0,STANDARD DEVIATION,FHLMC,01/14/2019
ARMS/HYBRIDS,*,0,*,*,0,VOLUME OF TRADES (000'S),FHLMC,01/14/2019
ARMS/HYBRIDS,*,0,*,*,0,NUMBER OF TRADES,FHLMC,01/14/2019
ARMS/HYBRIDS,101.2,0,101.1,0,0,AVERAGE PRICE,GNMA,01/14/2019
ARMS/HYBRIDS,101.8,0,101.5,0,0,WEIGHTED AVG. PRICE,GNMA,01/14/2019
ARMS/HYBRIDS,101.2,0,100.5,0,0,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/14/2019
ARMS/HYBRIDS,*,0,100,0,0,2ND QUARTILE PRICE,GNMA,01/14/2019
