AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
OTHER,OTHER,*,*,*,*,*,*,20190401
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,88,53,275097.9,327,160,264561.2,20190402
NON-AGENCY CMO,IO/PO,0,0,0,10,7,6741.5,20190402
NON-AGENCY CMBS,P&I,198,142,604980.1,35,22,204558.1,20190402
NON-AGENCY CMBS,IO/PO,28,17,1550297.8,5,3,35935.8,20190402
AGENCY CMBS,P&I,60,34,170881.6,101,55,353609.7,20190402
AGENCY CMBS,IO/PO,*,*,*,0,0,0,20190402
AGENCY CMBS,ABS,408,253,1238276.1,112,61,111305,20190402
CBO/CDO/CLO,CBO/CDO/CLO,70,45,342199.5,34,22,86614.7,20190402
OTHER,OTHER,0,0,0,0,0,0,20190402
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,97,43,179099.3,292,148,245025.7,20190403
NON-AGENCY CMO,IO/PO,*,*,*,*,*,*,20190403
NON-AGENCY CMBS,P&I,168,114,666219,104,27,191002.5,20190403
NON-AGENCY CMBS,IO/PO,7,5,339372.5,*,*,*,20190403
AGENCY CMBS,P&I,52,33,44972.2,95,57,387929,20190403
AGENCY CMBS,IO/PO,*,*,*,*,*,*,20190403
AGENCY CMBS,ABS,360,250,1129890.5,63,42,177003,20190403
CBO/CDO/CLO,CBO/CDO/CLO,80,55,316736.6,28,18,108029,20190403
OTHER,OTHER,*,*,*,0,0,0,20190403
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,66,43,135985.6,284,136,260727,20190404
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,20190404
NON-AGENCY CMBS,P&I,165,114,659767.3,39,25,114669.5,20190404
NON-AGENCY CMBS,IO/PO,*,*,*,*,*,*,20190404
AGENCY CMBS,P&I,83,38,484103.2,66,35,273404.9,20190404
AGENCY CMBS,IO/PO,*,*,*,17,4,1511105.7,20190404
AGENCY CMBS,ABS,361,229,780613.1,56,38,200254.7,20190404
CBO/CDO/CLO,CBO/CDO/CLO,101,77,444522.7,67,32,179671.8,20190404
OTHER,OTHER,0,0,0,0,0,0,20190404
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
