Agency,Measure,<=2.5,3,3.5,4,4.5,5,>5.0,SettlementMonth,AssetClassType,AssetClassSubType,Date,SettlementDateChart
GNMA,NUMBER OF TRADES,0,0.0,0,0,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FNMA/UMBS,AVERAGE PRICE,100.5,101.9,103.1,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FNMA/UMBS,WEIGHTED AVG. PRICE,100.5,101.9,103.1,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FNMA/UMBS,AVG. PRICE BOTTOM 5 TRADES,100.4,101.8,103.1,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FNMA/UMBS,2ND QUARTILE PRICE,100.5,101.8,103.1,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FNMA/UMBS,3RD QUARTILE PRICE,100.5,101.9,103.1,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FNMA/UMBS,4TH QUARTILE PRICE,100.6,101.9,103.1,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FNMA/UMBS,AVG. PRICE TOP 5 TRADES,100.6,101.9,103.1,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FNMA/UMBS,STANDARD DEVIATION,0,0.1,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FNMA/UMBS,VOLUME OF TRADES (000'S),938250,160400.0,76000,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FNMA/UMBS,NUMBER OF TRADES,59,27.0,8,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FHLMC,AVERAGE PRICE,0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FHLMC,WEIGHTED AVG. PRICE,0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FHLMC,AVG. PRICE BOTTOM 5 TRADES,0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FHLMC,2ND QUARTILE PRICE,0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FHLMC,3RD QUARTILE PRICE,0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FHLMC,4TH QUARTILE PRICE,0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FHLMC,AVG. PRICE TOP 5 TRADES,0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FHLMC,STANDARD DEVIATION,0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FHLMC,VOLUME OF TRADES (000'S),0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FHLMC,NUMBER OF TRADES,0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
GNMA,AVERAGE PRICE,0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
GNMA,WEIGHTED AVG. PRICE,0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
GNMA,AVG. PRICE BOTTOM 5 TRADES,0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
GNMA,2ND QUARTILE PRICE,0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
GNMA,3RD QUARTILE PRICE,0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
GNMA,4TH QUARTILE PRICE,0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
GNMA,AVG. PRICE TOP 5 TRADES,0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
GNMA,STANDARD DEVIATION,0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
GNMA,VOLUME OF TRADES (000'S),0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
GNMA,NUMBER OF TRADES,0,0.0,0,0,0.0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 2
FNMA/UMBS,AVERAGE PRICE,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
FNMA/UMBS,WEIGHTED AVG. PRICE,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
FNMA/UMBS,AVG. PRICE BOTTOM 5 TRADES,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
FNMA/UMBS,2ND QUARTILE PRICE,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
FNMA/UMBS,3RD QUARTILE PRICE,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
FNMA/UMBS,4TH QUARTILE PRICE,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
FNMA/UMBS,AVG. PRICE TOP 5 TRADES,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
FNMA/UMBS,STANDARD DEVIATION,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
FNMA/UMBS,VOLUME OF TRADES (000'S),0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
FNMA/UMBS,NUMBER OF TRADES,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
