Mortgage Type,<= 2.5 ,3,3.5,4,4.5,5,> 5.0,Measure,Agency,Date
SINGLE FAMILY 15Y,100.5,101.7,103,103.9,105.3,*,*,WEIGHTED AVG. PRICE,UMBS,20190604
SINGLE FAMILY 15Y,98.4,99.4,99.6,100.7,102.9,*,*,AVG. PRICE BOTTOM 5 TRADES,UMBS,20190604
SINGLE FAMILY 15Y,99.8,101.1,101.7,103,102.4,*,*,2ND QUARTILE PRICE,UMBS,20190604
SINGLE FAMILY 15Y,100.2,101.7,102.4,103.4,105.2,*,*,3RD QUARTILE PRICE,UMBS,20190604
SINGLE FAMILY 15Y,100.5,101.8,102.7,103.6,105.6,*,*,4TH QUARTILE PRICE,UMBS,20190604
SINGLE FAMILY 15Y,100.5,101.9,103.1,104.1,105,*,*,AVG. PRICE TOP 5 TRADES,UMBS,20190604
SINGLE FAMILY 15Y,0.7,0.6,1,0.9,1.8,*,*,STANDARD DEVIATION,UMBS,20190604
SINGLE FAMILY 15Y,159302.2,417333.9,71441.7,50614.3,2317.7,*,*,VOLUME OF TRADES (000'S),UMBS,20190604
SINGLE FAMILY 15Y,51,144,89,65,8,*,*,NUMBER OF TRADES,UMBS,20190604
SINGLE FAMILY 15Y,99.8,101,103.3,107.6,*,0,0,AVERAGE PRICE,FNMA,20190604
SINGLE FAMILY 15Y,99.9,101,103.6,107.6,*,0,0,WEIGHTED AVG. PRICE,FNMA,20190604
SINGLE FAMILY 15Y,99.1,99.9,102.6,107.4,*,0,0,AVG. PRICE BOTTOM 5 TRADES,FNMA,20190604
SINGLE FAMILY 15Y,99.6,100.8,102.9,107.6,*,0,0,2ND QUARTILE PRICE,FNMA,20190604
SINGLE FAMILY 15Y,99.9,101.3,103.1,108.4,*,0,0,3RD QUARTILE PRICE,FNMA,20190604
SINGLE FAMILY 15Y,100.3,101.9,104.4,108.7,*,0,0,4TH QUARTILE PRICE,FNMA,20190604
SINGLE FAMILY 15Y,100.4,102.1,104.4,108.1,*,0,0,AVG. PRICE TOP 5 TRADES,FNMA,20190604
SINGLE FAMILY 15Y,0.6,0.9,1,1.2,*,0,0,STANDARD DEVIATION,FNMA,20190604
SINGLE FAMILY 15Y,27971.5,188999.4,143701.9,506683.5,*,0,0,VOLUME OF TRADES (000'S),FNMA,20190604
SINGLE FAMILY 15Y,17,18,15,6,*,0,0,NUMBER OF TRADES,FNMA,20190604
SINGLE FAMILY 15Y,100.2,101.5,102,103.4,102.7,0,101.5,AVERAGE PRICE,FHLMC,20190604
SINGLE FAMILY 15Y,100.4,101.7,103,104.1,103.9,0,103.4,WEIGHTED AVG. PRICE,FHLMC,20190604
SINGLE FAMILY 15Y,99,99.7,100.5,103.1,100.3,0,99.7,AVG. PRICE BOTTOM 5 TRADES,FHLMC,20190604
SINGLE FAMILY 15Y,100.3,101.5,101.3,103.2,103,0,101.1,2ND QUARTILE PRICE,FHLMC,20190604
SINGLE FAMILY 15Y,100.3,101.8,102.5,103.4,103.6,0,103.1,3RD QUARTILE PRICE,FHLMC,20190604
SINGLE FAMILY 15Y,100.5,101.9,102.7,103.4,104.1,0,104.9,4TH QUARTILE PRICE,FHLMC,20190604
SINGLE FAMILY 15Y,100.5,101.9,103.4,103.6,104.3,0,103.1,AVG. PRICE TOP 5 TRADES,FHLMC,20190604
SINGLE FAMILY 15Y,0.5,0.7,1.1,0.4,2.4,0,3.5,STANDARD DEVIATION,FHLMC,20190604
SINGLE FAMILY 15Y,327693,23291.4,148790.2,33229.5,5314.1,0,2197.8,VOLUME OF TRADES (000'S),FHLMC,20190604
SINGLE FAMILY 15Y,68,55,30,17,21,0,8,NUMBER OF TRADES,FHLMC,20190604
SINGLE FAMILY 15Y,0,*,102.6,103.6,*,*,*,AVERAGE PRICE,GNMA,20190604
SINGLE FAMILY 15Y,0,*,102.9,104.1,*,*,*,WEIGHTED AVG. PRICE,GNMA,20190604
SINGLE FAMILY 15Y,0,*,102.6,103.1,*,*,*,AVG. PRICE BOTTOM 5 TRADES,GNMA,20190604
SINGLE FAMILY 15Y,0,*,*,102.9,*,*,*,2ND QUARTILE PRICE,GNMA,20190604
SINGLE FAMILY 15Y,0,*,*,104.2,*,*,*,3RD QUARTILE PRICE,GNMA,20190604
SINGLE FAMILY 15Y,0,*,*,104.2,*,*,*,4TH QUARTILE PRICE,GNMA,20190604
SINGLE FAMILY 15Y,0,*,102.6,104.2,*,*,*,AVG. PRICE TOP 5 TRADES,GNMA,20190604
SINGLE FAMILY 15Y,0,*,0.8,0.8,*,*,*,STANDARD DEVIATION,GNMA,20190604
SINGLE FAMILY 15Y,0,*,7168,10709.4,*,*,*,VOLUME OF TRADES (000'S),GNMA,20190604
SINGLE FAMILY 15Y,0,*,5,11,*,*,*,NUMBER OF TRADES,GNMA,20190604
SINGLE FAMILY 30Y,*,100.6,102.2,103.9,105,105.4,105.1,AVERAGE PRICE,UMBS,20190604
SINGLE FAMILY 30Y,*,100.9,102.4,103.7,106,107,110.9,WEIGHTED AVG. PRICE,UMBS,20190604
SINGLE FAMILY 30Y,*,98.8,100.7,101.8,101.8,102.3,97,AVG. PRICE BOTTOM 5 TRADES,UMBS,20190604
SINGLE FAMILY 30Y,*,100.2,101.8,103.1,104.4,105,103,2ND QUARTILE PRICE,UMBS,20190604
SINGLE FAMILY 30Y,*,100.8,102.1,103.5,105.1,105.7,105.3,3RD QUARTILE PRICE,UMBS,20190604
SINGLE FAMILY 30Y,*,101.1,102.6,105.1,106.4,106,108.5,4TH QUARTILE PRICE,UMBS,20190604
SINGLE FAMILY 30Y,*,101.8,103.6,106.3,108.1,108.1,112.5,AVG. PRICE TOP 5 TRADES,UMBS,20190604
SINGLE FAMILY 30Y,*,0.8,0.7,1.2,1.4,2.7,4.5,STANDARD DEVIATION,UMBS,20190604
SINGLE FAMILY 30Y,*,1023569.9,1177138.8,2116333.2,2976325.3,67323.4,15828.3,VOLUME OF TRADES (000'S),UMBS,20190604
SINGLE FAMILY 30Y,*,96,205,175,314,69,132,NUMBER OF TRADES,UMBS,20190604
SINGLE FAMILY 30Y,0,100.5,102.7,104.8,106.7,106.7,102,AVERAGE PRICE,FNMA,20190604
SINGLE FAMILY 30Y,0,100.5,103.3,105.4,106.9,106.9,107.1,WEIGHTED AVG. PRICE,FNMA,20190604
SINGLE FAMILY 30Y,0,100,101.8,103.6,105.3,105.1,97,AVG. PRICE BOTTOM 5 TRADES,FNMA,20190604
SINGLE FAMILY 30Y,0,100.3,102.1,104.8,106.6,105.6,98.2,2ND QUARTILE PRICE,FNMA,20190604
SINGLE FAMILY 30Y,0,101,102.6,105.1,106.8,105.9,106.1,3RD QUARTILE PRICE,FNMA,20190604
SINGLE FAMILY 30Y,0,101,103.4,105.7,107.5,109.2,107.2,4TH QUARTILE PRICE,FNMA,20190604
SINGLE FAMILY 30Y,0,101,103.7,105.7,107.8,108.9,107.1,AVG. PRICE TOP 5 TRADES,FNMA,20190604
SINGLE FAMILY 30Y,0,0.6,0.7,1.1,1.2,2.1,5.2,STANDARD DEVIATION,FNMA,20190604
SINGLE FAMILY 30Y,0,279318,1515772.2,116673.1,55780.7,13914.4,14023,VOLUME OF TRADES (000'S),FNMA,20190604
SINGLE FAMILY 30Y,0,16,28,14,16,13,15,NUMBER OF TRADES,FNMA,20190604
SINGLE FAMILY 30Y,0,100.6,102.1,103.5,104.8,105.1,103.2,AVERAGE PRICE,FHLMC,20190604
SINGLE FAMILY 30Y,0,101.3,102.9,104.5,107,107.6,110.7,WEIGHTED AVG. PRICE,FHLMC,20190604
SINGLE FAMILY 30Y,0,99.9,100.8,101.7,101.4,101.1,99.6,AVG. PRICE BOTTOM 5 TRADES,FHLMC,20190604
